"name","party","Q_1","Q_2","Q_3","Q_4","Q_5","Q_6","Q_7","Q_8","Q_9","Q_10","Q_11","Q_12","Q_13","Q_14","Q_15","Q_16","Q_17","Q_18","Q_19","Q_20","Q_21","Q_22","Q_23","Q_24","Q_25","Q_26","Q_27","Q_28","Q_29"
"Vootele Hansen","Isamaa",3,2,2,3,3,4,3,1,2,3,4,2,4,1,4,1,NA,2,1,3,2,1,3,3,3,3,4,3,2
"Priidu Pärna","Isamaa",2,3,2,4,1,3,3,2,3,3,3,2,3,3,4,3,3,2,3,4,2,1,2,2,2,3,3,4,3
"Tarmo Kõuts","Isamaa",3,2,3,3,3,3,3,3,2,3,4,4,3,NA,3,2,2,3,2,4,2,2,2,2,3,3,4,3,2
"Trivimi Velliste","Isamaa",3,2,2,3,1,4,3,2,1,3,4,1,4,1,4,1,1,1,1,3,1,2,1,1,3,2,3,4,4
"Ülle Rosin","EKRE",4,3,4,3,4,3,3,3,2,3,3,2,3,1,4,2,2,2,1,4,1,NA,NA,3,3,4,3,3,1
"Raivo Tamm","Isamaa",3,1,1,3,1,4,4,1,3,2,4,2,4,1,4,4,3,2,1,4,2,1,3,4,3,3,3,3,3
"Marju Aolaid","Isamaa",3,1,1,3,1,3,4,1,3,2,4,2,4,1,4,3,3,2,2,3,1,1,3,4,NA,3,3,3,3
"Heldur-Valdek Seeder","Isamaa",3,2,3,2,4,3,3,2,3,3,3,2,3,2,4,3,2,2,1,4,1,1,3,1,4,4,3,3,3
"Tiit Meren","Isamaa",2,1,2,3,3,4,3,2,3,3,4,3,3,2,4,4,3,3,2,4,2,1,1,3,3,4,2,3,3
"Artur Tiganik","Isamaa",2,3,2,3,3,4,4,2,2,1,4,3,4,4,3,4,4,1,2,3,1,1,4,4,4,4,4,2,4
"Lagle Parek","Isamaa",3,3,1,2,3,4,3,3,3,NA,4,3,2,3,3,3,2,2,2,3,3,2,2,2,2,3,3,3,3
"Tõnu Munk","Isamaa",3,2,2,3,4,2,4,2,3,1,3,1,3,1,4,2,4,1,1,3,1,1,3,3,2,4,3,1,2
"Marek Pihlak","Isamaa",3,1,3,3,4,3,3,2,2,2,2,2,4,3,4,3,NA,1,1,3,1,1,4,1,2,4,4,3,1
"Kaspar Kokk","Isamaa",2,1,4,3,2,2,3,2,3,4,3,2,3,1,4,4,3,1,1,4,1,1,4,2,1,2,4,2,2
"Jüri Ross","SDE",2,4,2,3,3,3,4,3,2,4,4,4,4,4,3,3,2,2,1,4,2,4,2,3,1,4,3,3,3
"Siim Suursild","Isamaa",2,3,3,3,4,3,3,2,2,3,4,3,3,1,3,3,2,1,3,3,2,1,1,2,2,3,3,3,3
"Üllar Saaremäe","Isamaa",3,1,1,3,1,3,4,1,3,2,4,2,4,3,2,3,2,2,1,3,1,1,3,4,NA,3,2,3,2
"Einar Vallbaum","Isamaa",2,2,2,4,3,4,2,3,1,2,4,4,2,4,3,4,3,2,1,4,2,1,1,4,2,4,4,4,3
"Reet Alev","Isamaa",3,1,1,3,1,3,4,1,3,2,4,2,4,1,4,3,2,2,1,3,1,1,3,4,NA,2,3,2,3
"Johan Kärp","Isamaa",3,3,2,2,4,3,3,1,3,1,4,2,3,1,4,3,2,2,2,3,2,1,1,2,2,3,3,2,2
"Alar Karu","Isamaa",2,1,1,3,1,3,4,1,3,2,4,2,4,2,4,4,4,1,1,3,1,1,3,3,2,3,4,3,3
"Allan Unt","Isamaa",3,2,4,4,4,4,3,2,2,2,4,1,4,2,3,4,NA,1,1,4,1,1,4,2,2,3,2,3,1
"Tarmo Piirmann","Isamaa",2,2,2,3,2,3,3,2,3,3,4,1,4,NA,4,3,NA,2,2,3,2,1,2,1,4,3,3,3,2
"Marit Sepma","Isamaa",2,2,4,3,3,1,4,1,3,3,4,2,4,1,3,1,2,1,1,4,2,1,2,3,2,4,3,2,1
"Timo Nikitin","Eesti 200",3,1,4,1,2,4,2,3,2,4,4,2,3,2,1,4,4,3,1,4,2,2,4,NA,2,4,3,4,3
"Koit Kelder","Eesti 200",2,1,1,3,2,3,3,2,2,3,3,1,3,3,1,3,3,3,2,3,1,3,3,2,3,2,3,3,3
"Grigore-Kalev Stoicescu","Eesti 200",3,2,2,3,3,3,2,3,2,4,3,4,2,4,1,4,4,4,2,4,2,3,2,2,3,4,3,4,3
"Ron Luvištšuk","Eesti 200",2,2,3,2,1,4,4,2,4,2,2,4,2,3,1,4,NA,3,3,4,2,3,2,3,3,4,3,4,4
"Margus Tsahkna","Eesti 200",3,1,1,4,4,3,3,2,3,3,3,3,4,4,1,3,2,3,1,4,2,1,2,4,2,3,3,3,3
"Kristo Mägi","Eesti 200",2,2,1,3,2,4,2,2,2,4,3,3,3,3,3,3,3,2,2,4,2,2,2,2,3,3,3,4,2
"Marek Reinaas","Eesti 200",4,1,1,3,4,4,1,1,3,4,4,4,3,3,1,4,4,2,1,1,2,1,1,1,3,3,4,4,1
"Ignar Fjuk","Eesti 200",1,3,2,3,1,3,2,2,2,2,2,2,3,3,2,3,3,2,2,3,1,2,1,3,2,3,3,3,2
"Diana Andriot","Eesti 200",4,2,3,1,4,1,2,4,2,4,4,4,4,4,1,4,4,3,2,4,1,4,4,2,3,1,2,4,1
"Merlin Linde","Eesti 200",2,1,2,3,1,4,2,1,1,4,4,4,2,4,1,4,4,4,2,3,2,1,1,2,2,3,3,4,3
"Ivo Kappet","Eesti 200",3,2,4,3,3,3,4,2,4,2,3,3,4,3,NA,NA,NA,1,2,3,NA,3,1,3,2,4,4,2,3
"Triin Varek","Keskerakond",3,4,4,3,4,3,2,3,2,3,4,4,3,4,1,4,4,3,1,4,2,4,2,1,3,3,3,3,2
"Tarmo Tamm","Eesti 200",2,2,1,4,2,2,3,2,2,3,3,2,2,3,1,3,3,2,2,4,3,1,1,3,3,2,4,4,2
"Kadri Tali","Eesti 200",3,1,1,2,3,4,1,3,3,4,4,2,3,3,2,4,4,4,2,3,1,2,4,2,4,3,4,4,3
"Pärtel Piirimäe","Eesti 200",2,2,2,3,3,3,2,1,1,3,3,3,3,3,NA,3,NA,3,2,3,3,NA,2,3,3,3,2,4,2
"Helene Lumi","Eesti 200",2,3,4,2,3,3,1,3,2,4,4,2,3,3,NA,3,2,4,1,3,1,1,2,1,3,3,4,4,3
"Martin Vilen","Eesti 200",2,2,1,3,2,2,1,3,1,4,3,2,1,4,1,4,4,4,2,4,2,1,2,4,4,3,4,4,3
"Ksenia Moskvina","Eesti 200",2,2,2,1,3,4,3,4,2,3,2,4,3,4,1,4,4,4,2,3,2,4,4,3,3,2,4,2,2
"Rein-Erik Jõe","Eesti 200",2,3,2,3,2,2,3,2,2,4,NA,NA,2,NA,2,3,2,3,2,3,NA,3,NA,2,3,4,3,4,3
"Vahur Kollom","Eesti 200",3,2,2,3,2,3,2,2,2,3,4,3,3,4,1,4,3,3,1,4,2,3,1,2,3,3,3,3,2
"Igor Taro","Eesti 200",1,4,1,4,4,4,2,4,1,4,4,1,1,4,1,4,4,1,1,4,4,1,1,4,1,4,4,4,4
"Renata Lukk","Eesti 200",3,2,2,3,3,3,2,3,2,4,3,3,2,4,1,4,4,3,3,3,3,1,2,3,2,3,3,4,3
"Irja Lutsar","Eesti 200",3,2,2,3,2,4,2,2,3,2,3,3,2,4,1,3,3,4,2,4,2,3,1,3,2,4,3,2,3
"Egle Olesk","Rohelised",2,4,4,3,2,3,1,4,1,4,3,3,1,4,1,4,4,4,3,3,2,1,3,2,3,1,1,4,1
"Piret Räni","Rohelised",4,4,3,1,4,2,3,1,1,4,NA,NA,1,4,1,4,4,4,2,3,1,2,2,1,2,1,1,4,1
"Hans Leonhard Kõrgesaar","Rohelised",3,4,4,1,4,2,1,2,1,4,4,3,4,4,1,4,4,3,2,3,4,1,1,4,4,1,3,4,1
"Margus Konnula","Rohelised",3,3,3,2,4,2,2,2,1,4,3,NA,2,4,1,3,NA,2,1,2,1,1,2,2,2,1,2,3,1
"Kullar Lubi","Rohelised",3,2,3,2,2,3,2,3,1,4,3,3,3,2,4,4,2,3,1,3,1,1,4,1,2,1,4,4,1
"Kärt Kalvet","Rohelised",2,3,3,2,1,3,1,2,1,4,1,NA,1,4,1,4,4,4,2,3,3,3,2,1,2,1,1,4,1
"Fideelia-Signe Roots","Rohelised",3,3,3,1,2,3,3,3,2,4,3,3,3,4,1,4,4,4,3,3,3,3,3,2,2,2,1,4,2
"Liina Reimann","Rohelised",NA,3,3,2,3,2,2,3,2,4,3,3,2,4,1,4,4,3,2,4,3,2,2,3,4,1,3,4,1
"Elsa Joanna Jukola","Rohelised",3,3,4,3,3,4,2,3,2,4,3,2,4,4,1,4,4,2,2,4,1,4,2,1,4,1,3,4,1
"Arvo Kuiv","Rohelised",2,1,4,4,4,1,3,1,1,4,4,4,4,1,4,4,1,1,1,1,1,1,4,4,1,4,2,4,1
"Marina Kaljurand","SDE",3,4,4,4,2,3,3,3,1,4,3,4,2,4,1,4,4,3,2,4,1,4,2,3,2,3,4,4,2
"Timur Sagitov","Rohelised",2,3,3,3,4,1,3,2,2,4,3,4,1,4,1,3,4,3,3,4,2,4,3,3,4,1,2,4,1
"Ave Mets","Rohelised",3,3,3,2,3,3,2,3,1,4,3,3,NA,4,1,4,4,3,2,2,2,2,2,1,3,2,1,4,2
"Martin Helme","EKRE",3,2,3,3,4,3,4,1,3,1,4,1,4,1,4,1,2,2,1,2,1,1,3,2,2,4,3,1,1
"Anna Kalinina","Rohelised",4,1,3,3,2,2,3,2,2,3,3,4,1,3,2,4,4,3,2,2,2,3,4,NA,3,2,3,3,2
"Kaspar Kurve","Rohelised",3,4,3,1,3,3,2,2,1,4,2,3,NA,4,1,4,4,4,4,3,1,4,3,1,2,1,3,4,2
"Helina Tilk","Rohelised",1,4,4,4,4,1,3,2,4,4,4,3,1,4,1,3,4,1,4,3,3,1,1,1,3,1,1,4,1
"Sven Arulaid","Rohelised",2,3,1,4,3,2,1,NA,1,4,NA,3,NA,4,1,4,3,NA,3,3,3,1,2,2,4,1,3,4,1
"Tuula Raidna","Rohelised",2,2,2,3,1,4,2,3,1,4,3,3,1,4,1,4,4,4,1,3,2,3,1,3,4,1,1,4,1
"Triin Toomesaar","SDE",3,4,4,2,2,2,2,2,1,4,2,3,3,4,1,3,4,4,2,4,3,3,3,1,2,2,2,4,2
"Andro Roos","Keskerakond",4,1,4,3,4,1,4,1,4,1,4,1,4,1,4,2,1,1,1,2,1,4,4,1,4,4,4,1,1
"Max Kaur","Keskerakond",4,3,3,2,3,3,3,3,3,2,3,3,3,3,NA,NA,NA,2,NA,3,NA,3,3,3,2,3,3,NA,3
"Tarmo Kruusimäe","Isamaa",3,1,1,3,2,4,4,1,3,2,4,2,4,1,4,2,NA,1,1,3,2,1,3,4,NA,3,3,2,3
"Aleksei Jašin","Eesti 200",2,3,1,2,2,3,3,3,1,4,3,2,1,2,1,4,4,3,2,4,1,2,1,2,2,3,3,4,3
"Mark Gerassimenko","SDE",3,4,4,1,3,3,2,3,2,2,3,3,1,4,1,4,4,4,4,4,3,4,3,1,2,4,3,4,4
"Velvo Väli","SDE",2,4,1,1,1,1,1,4,1,4,3,4,3,4,1,4,NA,4,3,4,1,4,1,1,3,3,3,4,2
"Roland Mere","EKRE",3,1,1,2,3,4,2,3,2,3,4,1,2,2,4,4,3,1,1,3,1,1,1,2,2,3,2,2,3
"Urmas Reitelmann","EKRE",3,2,4,3,4,2,4,1,4,1,4,1,4,1,4,2,2,1,1,1,1,1,4,2,1,4,4,1,2
"Oleg Kuznetsov","SDE",3,4,3,2,3,3,3,3,2,3,4,3,3,2,3,3,3,3,2,3,2,3,2,2,4,3,3,3,2
"Kadri Paas","Eesti 200",2,2,3,3,2,4,3,1,3,3,3,NA,3,3,1,1,3,3,1,1,1,1,1,3,2,4,4,3,3
"Marek Kullamägi","Eesti 200",3,2,4,3,3,4,3,2,3,1,3,3,3,2,4,3,2,1,1,3,2,1,3,2,2,3,2,1,1
"Kersti Kivirüüt","Eesti 200",3,2,3,1,3,3,3,3,2,3,4,3,2,4,1,4,4,4,2,4,NA,2,2,NA,NA,NA,NA,3,3
"Anastassia Kovalenko-Kõlvart","Keskerakond",4,3,4,1,2,3,3,4,3,2,3,4,4,1,4,4,4,2,2,3,1,3,3,2,2,2,3,3,2
"Eimar Veldre","SDE",3,4,3,3,3,3,3,2,2,4,4,NA,3,4,1,4,4,3,2,4,4,3,3,2,2,2,4,4,3
"Urmas Heinaste","Rohelised",3,3,3,3,4,2,2,2,1,4,4,2,2,3,3,2,NA,3,1,1,3,1,2,3,3,2,2,3,1
"Alina Lerner-Vilu","Rohelised",3,3,4,2,4,3,2,2,2,4,3,4,2,4,1,4,4,3,2,2,2,4,2,2,3,2,2,4,1
"Rudolf Kasper Naruski","Parempoolsed",1,1,1,4,2,1,3,3,4,NA,3,4,1,4,1,3,4,2,2,3,4,1,1,4,4,4,3,4,1
"Aul Pedajas","Rohelised",NA,3,NA,1,4,4,2,3,1,4,4,2,2,1,4,2,NA,2,1,3,1,4,3,NA,NA,1,1,4,1
"Paavo Ulmanis","Parempoolsed",3,1,2,3,4,3,3,4,3,3,4,3,1,4,1,4,4,3,1,4,4,1,1,3,2,4,4,2,3
"Riina Solman","Isamaa",3,2,2,3,3,3,4,2,3,2,4,2,4,2,4,2,3,2,2,3,2,1,2,3,1,4,3,2,3
"Evelin Poolamets","EKRE",3,1,4,3,4,3,4,1,4,1,4,1,4,1,4,2,NA,1,1,1,1,1,1,1,1,3,NA,1,1
"Jaak Madison","EKRE",3,1,4,4,4,4,4,1,2,4,4,1,4,1,4,2,2,1,1,1,3,1,1,1,2,4,4,1,3
"Mike Calamus","EKRE",2,1,4,3,4,1,3,1,3,1,4,1,4,1,4,1,4,1,1,2,1,1,2,1,3,4,4,1,2
"Karl Sander Kase","Isamaa",2,1,1,4,1,3,3,1,3,2,3,NA,3,NA,3,2,NA,3,1,3,3,NA,3,4,2,4,NA,3,3
"Katrin Jõgisaar","Rohelised",3,2,3,2,4,3,2,2,2,4,3,3,3,3,1,3,3,4,2,3,3,1,3,1,3,2,2,4,1
"Kalle Virkus","Rohelised",2,2,2,3,3,3,3,2,1,4,4,1,2,1,3,3,3,2,2,3,2,1,2,1,3,2,3,4,3
"Aare Lill","Eesti 200",2,2,1,3,4,3,2,1,2,4,4,4,3,4,NA,4,2,2,1,4,2,2,1,3,3,4,3,4,2
"Anti Toplaan","Isamaa",2,2,2,3,3,2,3,2,2,2,3,3,4,1,4,2,2,2,1,3,3,2,2,2,1,3,3,3,2
"Eveliis Padar","SDE",3,4,4,2,1,3,1,3,2,4,2,3,1,4,1,4,4,4,2,3,4,3,3,2,2,4,4,4,3
"Karl Kirt","SDE",3,3,2,3,3,2,3,2,2,3,3,3,3,3,1,4,4,3,1,4,3,2,3,1,2,3,3,4,1
"Ene Täht","Isamaa",3,2,2,3,1,4,3,2,1,3,4,2,4,NA,4,NA,2,2,1,3,1,1,2,1,3,1,3,3,2
"Avo Üprus","Isamaa",3,3,4,3,4,3,3,1,3,2,3,3,4,2,4,2,3,2,2,3,2,1,1,3,1,3,3,3,1
"Karl Pütsepp","SDE",2,4,3,1,2,3,2,4,1,4,3,3,2,4,1,4,4,4,3,4,4,3,3,1,2,2,1,4,2
"Sulev Alajõe","Eesti 200",2,1,2,3,1,3,2,1,2,4,4,3,3,4,1,3,3,1,3,3,1,4,3,2,2,1,3,4,3
"Kaupo Männiste","EKRE",4,1,4,3,4,3,4,1,1,1,4,1,4,1,4,1,2,1,1,2,1,1,2,1,1,4,4,1,1
"Merle Kivest","EKRE",3,1,4,3,4,2,3,1,2,1,4,1,4,1,4,2,NA,2,1,1,2,1,4,1,2,4,4,1,1
"Marti Soosaar","Rohelised",2,3,1,3,NA,4,3,2,1,4,1,NA,3,NA,1,3,4,2,2,4,2,2,4,2,3,2,2,4,2
"Feliks Undusk","Isamaa",3,3,3,3,4,3,3,2,3,3,4,2,3,2,4,3,3,2,2,3,3,1,1,1,1,4,2,3,2
"Priit Lomp","SDE",3,4,3,2,1,4,3,3,1,4,3,3,3,3,2,4,4,4,2,4,2,4,3,1,1,2,4,4,1
"Ilmar Raag","Parempoolsed",2,2,2,4,4,4,2,2,2,4,3,3,1,NA,NA,4,4,2,1,3,4,1,1,4,4,3,3,4,3
"Valmar Haava","EKRE",4,3,4,2,4,2,1,1,4,1,4,1,4,2,4,2,3,1,1,1,1,1,2,1,2,3,4,1,1
"Jaak Laineste","Eesti 200",2,4,3,3,3,3,2,3,1,4,3,3,2,3,1,NA,3,4,2,2,3,2,1,3,2,4,2,4,3
"Enn Listra","Reformierakond",2,2,1,3,3,3,3,1,2,2,3,1,3,NA,4,3,3,3,1,3,2,2,1,3,2,3,2,3,3
"Marek Karm","Eesti 200",3,2,2,4,NA,3,3,NA,1,4,3,NA,2,3,2,4,NA,3,2,3,1,NA,2,2,3,3,3,4,3
"Peeter Võsu","Isamaa",2,1,2,3,3,2,3,1,4,2,4,1,3,1,4,2,4,2,1,3,1,1,2,2,4,3,4,1,3
"Lavly Perling","Parempoolsed",2,1,1,3,1,3,2,1,2,3,3,2,4,NA,NA,3,NA,2,1,3,3,2,1,3,4,4,4,4,4
"Kadri Kõusaar","SDE",2,4,4,2,1,3,2,2,1,4,3,4,NA,4,1,4,4,3,2,4,1,3,3,1,1,4,1,4,3
"Karl Aaron Adson","Eesti 200",3,4,4,1,4,3,1,3,1,4,2,3,4,4,1,4,4,4,3,4,4,4,1,1,3,1,3,4,1
"Marja-Liisa Veiser","Isamaa",3,1,3,3,3,3,3,2,3,2,4,1,4,1,4,3,2,1,1,3,2,1,3,2,2,3,3,2,2
"Jana Morozov","SDE",4,4,3,2,4,4,3,3,1,3,3,4,4,4,1,3,3,3,2,3,1,3,4,1,1,1,4,4,3
"Kristian Taska","Isamaa",1,1,4,4,4,2,4,1,3,1,4,1,1,4,1,1,4,2,1,1,4,1,1,1,1,4,1,2,3
"Mart Kuusk","Parempoolsed",1,1,1,4,1,2,1,1,1,3,1,4,1,4,1,4,4,3,4,1,3,1,1,3,4,3,4,4,4
"Raul Kivi","EKRE",3,1,3,1,4,3,4,1,3,2,4,2,4,1,4,2,2,1,1,3,NA,1,4,1,3,4,2,1,2
"Indrek Lillemägi","Eesti 200",2,3,2,3,2,2,1,3,2,4,3,3,3,4,1,3,4,4,2,3,2,3,1,2,2,2,3,4,2
"Henri Kaselo","SDE",4,3,3,2,4,2,3,3,2,4,4,4,4,4,2,3,3,4,3,4,3,4,3,1,1,3,4,4,3
"Lauri Hussar","Eesti 200",2,1,1,2,2,3,3,1,2,4,2,2,2,4,1,3,NA,3,2,4,2,2,2,3,3,3,3,4,3
"Erkki Markus","Rohelised",3,2,4,4,4,4,3,3,1,4,2,2,3,4,1,4,4,3,2,4,1,1,2,2,4,2,1,4,3
"Kris Süld","SDE",3,4,2,3,3,3,1,3,2,4,2,4,1,4,1,4,4,4,NA,4,NA,NA,4,NA,2,1,3,4,2
"Jaanus Nurmoja","Rohelised",2,3,3,1,4,4,3,2,1,4,3,1,4,2,NA,NA,NA,2,2,3,NA,1,3,1,1,2,3,3,2
"Vladimir Svet","Keskerakond",3,4,2,1,4,3,2,2,3,3,2,4,3,NA,NA,4,NA,3,2,4,1,4,2,1,1,2,2,4,3
"Diana Ingerainen","Eesti 200",2,2,3,4,3,3,1,2,2,3,3,3,3,4,1,3,4,4,2,4,3,1,1,2,2,3,3,3,3
"Jaanus Kriisk","Isamaa",3,2,4,3,4,3,4,2,1,4,3,1,4,NA,4,NA,2,1,1,4,2,1,2,3,1,4,2,2,2
"Kristina Kallas","Eesti 200",2,3,3,3,2,2,2,3,2,3,3,3,NA,4,1,4,4,3,2,4,NA,3,1,3,2,3,3,4,3
"Siiri Alberg","Rohelised",2,3,2,3,3,3,2,3,1,4,2,3,3,3,1,2,2,2,2,3,2,2,2,2,2,2,1,4,2
"Sander Maripuu","Eesti 200",2,3,2,3,4,3,2,2,2,4,2,3,3,4,1,4,4,3,2,3,3,2,2,4,3,3,3,4,4
"Karmen Joller","Reformierakond",NA,1,2,3,NA,3,3,2,1,3,NA,4,3,4,1,4,4,4,2,3,3,1,2,NA,NA,NA,NA,4,NA
"Marko Šorin","Keskerakond",3,4,2,1,4,3,4,1,3,2,3,3,3,2,3,3,NA,2,2,4,1,4,2,2,1,3,4,3,2
"Ines Arna","Eesti 200",3,1,4,3,3,2,3,2,1,3,3,1,2,4,1,4,4,3,1,3,1,1,3,3,3,3,3,4,2
"Denis Larchenko","Eesti 200",4,3,3,1,2,3,2,1,3,4,1,4,NA,4,1,4,4,2,1,3,1,3,4,NA,2,4,NA,2,4
"Atso Matsalu","Eesti 200",3,2,4,3,2,3,4,2,2,4,4,3,3,NA,NA,NA,1,2,1,3,1,1,1,3,3,3,4,3,3
"Marko Pomerants","Isamaa",2,1,1,2,1,3,3,2,2,3,3,1,3,2,4,3,NA,2,1,4,1,3,3,2,3,3,4,3,2
"Kaupo Kutsar","Eesti 200",2,3,1,3,3,3,3,2,2,4,3,2,3,2,3,NA,NA,2,2,4,2,1,3,2,2,3,4,3,2
"Friedrich Kaasik","Isamaa",2,2,2,3,3,4,4,1,2,3,4,2,4,3,4,4,3,2,2,3,3,1,4,2,3,4,4,3,3
"Liina Freivald","Rohelised",2,3,3,2,2,2,2,4,1,4,4,4,1,4,1,4,4,4,4,4,4,2,4,2,4,1,2,4,1
"Kaia Solnik","Rohelised",NA,3,3,2,3,2,2,3,2,4,3,3,2,4,1,4,3,3,2,4,2,2,2,3,4,1,3,4,1
"Ülle Mitt","Parempoolsed",2,1,1,3,1,3,2,1,2,3,3,1,3,NA,NA,2,NA,2,1,3,3,2,2,4,4,4,4,4,3
"Raul Kudre","SDE",3,3,2,2,4,3,4,3,3,3,4,3,2,3,2,4,2,2,1,4,2,2,3,2,2,3,3,4,2
"Helen Rebane","EKRE",3,1,4,1,4,2,4,1,3,1,4,1,3,1,4,2,3,2,1,2,1,1,2,2,2,3,3,1,1
"Ülar Lembke","Parempoolsed",2,1,1,3,1,3,2,1,2,2,3,1,3,NA,NA,3,NA,2,1,3,3,2,2,4,4,4,4,3,4
"Virko Raagmets","Parempoolsed",3,1,3,3,4,3,3,2,4,1,1,3,4,3,1,4,4,2,1,4,1,1,4,1,4,4,4,2,4
"Villu Karu","Isamaa",2,3,3,3,2,4,4,2,2,1,4,3,4,2,4,4,3,2,1,3,2,1,4,2,1,4,3,2,4
"Peep Lassmann","Isamaa",3,3,3,3,2,3,3,2,2,3,3,2,3,2,3,3,3,2,3,3,3,2,2,2,2,3,2,3,3
"Pille Lill","Isamaa",3,3,3,3,3,3,3,4,2,3,4,2,4,3,3,3,3,2,2,4,2,1,2,3,3,1,1,4,2
"Andres Sutt","Reformierakond",3,1,1,3,2,3,3,2,2,4,3,3,3,4,2,3,4,2,1,4,2,1,3,4,4,3,3,4,3
"Rain Veetõusme","Isamaa",2,2,1,4,3,3,3,2,2,2,4,1,3,3,3,3,2,2,1,3,2,2,2,3,2,4,2,3,3
"Margot Roose","Eesti 200",3,1,3,3,3,4,1,3,1,4,NA,3,1,4,1,4,4,4,2,4,2,1,3,1,2,1,3,4,3
"Kerli Elbrecht","Parempoolsed",2,1,1,3,1,3,2,1,2,3,3,1,3,NA,NA,3,NA,3,1,2,2,2,2,4,4,4,4,4,4
"Mart Keerutaja","Parempoolsed",2,1,3,4,1,2,3,1,1,3,4,1,4,NA,NA,4,NA,3,2,4,1,1,1,2,3,4,4,2,3
"Põim Kama","Parempoolsed",2,1,1,3,2,2,2,3,3,4,2,4,1,4,2,3,4,3,2,3,2,2,1,3,4,3,3,4,3
"Sandra Sander","Parempoolsed",1,1,1,4,2,3,3,1,3,3,4,2,2,4,1,3,NA,1,1,3,4,2,1,4,4,4,4,3,3
"Silver Kuusik","EKRE",3,4,4,1,4,2,4,1,2,1,4,1,4,1,4,2,2,1,1,1,1,1,2,1,1,4,4,1,1
"Heiki Hepner","Isamaa",2,2,2,3,2,3,4,1,3,3,4,2,4,1,4,3,NA,1,1,4,3,1,3,3,2,3,4,2,2
"Madis Päts","Isamaa",3,3,2,3,2,3,3,1,2,3,4,4,2,4,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3
"Marko Kaljuveer","Isamaa",2,1,2,1,4,1,4,1,2,3,4,1,4,NA,NA,1,2,1,1,4,1,1,4,3,2,4,4,3,1
"Liisa-Ly Pakosta","Eesti 200",3,1,1,3,3,2,3,1,3,3,2,3,4,4,1,4,4,3,2,1,3,1,2,2,3,3,3,4,3
"Marko Kaasik","Rohelised",2,4,3,1,4,2,2,2,1,4,4,4,3,4,1,4,3,4,4,4,3,NA,3,1,4,1,1,4,1
"Lauri Läänemets","SDE",3,4,4,2,3,3,3,2,2,4,3,4,3,4,1,4,3,3,2,4,2,3,2,1,1,2,4,4,3
"Katre Kikkas","SDE",3,4,4,2,2,3,2,4,3,4,4,4,4,4,1,4,4,4,2,3,2,2,4,1,1,2,4,4,2
"Toomas Järveoja","Reformierakond",2,4,2,3,2,2,4,1,2,3,3,2,2,3,2,3,2,1,2,4,2,1,2,3,3,3,3,3,3
"Andres Kuuse","Parempoolsed",2,1,1,3,1,3,2,1,2,3,3,1,3,NA,NA,3,NA,2,1,3,3,2,2,4,4,4,4,4,4
"Sulev Kaldaru","Parempoolsed",2,2,2,4,NA,3,3,1,3,3,NA,2,1,1,3,4,2,2,1,2,2,1,1,2,4,4,4,2,4
"Tõnu Pihelgas","Parempoolsed",2,1,1,4,1,4,3,1,4,4,3,4,1,4,1,4,4,1,1,4,3,4,1,4,4,4,4,4,4
"Ester Karuse","Keskerakond",3,2,4,2,3,2,3,1,2,NA,4,2,4,1,4,3,4,2,2,3,1,4,3,1,1,3,3,2,1
"Mihkel Palk","Parempoolsed",2,1,1,3,1,3,2,1,2,3,3,1,3,NA,NA,3,NA,2,1,3,3,2,2,4,4,4,4,4,4
"Kalle Muuli","Isamaa",2,2,2,3,NA,3,NA,1,2,3,4,1,4,1,4,NA,NA,2,1,3,1,1,3,3,1,3,3,3,2
"Andrus Kaarelson","Parempoolsed",2,1,1,3,1,3,2,1,2,3,3,1,3,NA,NA,3,NA,2,1,3,3,2,2,4,4,4,4,4,4
"Kadri Kullman","Parempoolsed",2,1,1,3,1,3,2,2,2,3,3,1,3,NA,NA,3,NA,NA,1,3,3,2,2,2,4,4,4,4,2
"Palle Kõlar","EKRE",3,1,4,1,4,1,4,1,4,2,4,1,4,1,4,2,2,1,1,2,1,1,4,NA,2,4,2,1,1
"Ville Vallaste","Parempoolsed",1,1,1,3,2,3,2,1,2,3,3,1,3,NA,NA,4,NA,2,1,4,2,2,2,3,4,4,4,4,3
"Joanna Hoffmann","SDE",3,3,4,2,1,3,2,1,1,4,2,3,3,4,1,4,4,4,2,3,2,3,4,2,3,4,3,4,3
"Ando Eelmaa","Parempoolsed",2,1,2,4,1,3,2,1,2,3,3,1,2,NA,NA,NA,NA,1,1,3,3,1,1,3,4,3,4,4,4
"Martin Judanov","EKRE",3,1,4,3,4,1,4,1,3,1,4,1,4,1,4,1,2,1,1,2,1,1,4,1,2,4,4,1,2
"Toomas Birk","Parempoolsed",2,1,1,3,1,3,2,1,2,3,3,1,3,NA,NA,3,NA,2,1,3,3,NA,2,4,4,2,4,4,4
"Raul-Stig Rästa","Eesti 200",2,1,1,1,4,3,4,1,2,4,3,3,4,3,2,3,3,4,2,4,2,1,3,3,2,1,2,2,1
"Aleksandr Trunov","Rohelised",4,3,4,1,4,1,3,1,3,3,1,3,3,4,1,2,3,2,2,2,3,4,3,3,2,1,2,3,1
"Tiit Vapper","Reformierakond",2,1,2,2,2,2,3,2,2,4,4,2,3,4,2,3,2,1,2,3,2,1,3,1,4,2,1,3,3
