"party";"candidate_nr";"candidate_name";"candidate_votes";"candidate_position";"party_votes_const";"prop_candidate_votes_party";"prop_candidate_votes_constituency";"constituency"
"ISAMAA Erakond";383;"PRIIT HUMAL";252;4;4219;0,0597297937899976;0,00513573000733676;10
"ISAMAA Erakond";387;"ALLAN UNT";143;8;4219;0,0338942877459114;0,00291432298035379;10
"ISAMAA Erakond";389;"JAANUS KRIISK";132;10;4219;0,0312870348423797;0,00269014428955735;10
"ISAMAA Erakond";386;"MARIT SEPMA";119;7;4219;0,0282057359563878;0,00242520583679791;10
"ISAMAA Erakond";385;"LEMBIT KALEV";110;6;4219;0,0260725290353164;0,00224178690796446;10
"ISAMAA Erakond";388;"FRIEDRICH KAASIK";98;9;4219;0,0232282531405546;0,00199722833618652;10
"Sotsiaaldemokraatlik Erakond";506;"HELJO PIKHOF";1242;2;4869;0,255083179297597;0,0253118121790169;10
"Sotsiaaldemokraatlik Erakond";505;"KRISTA ARU";1177;1;4869;0,241733415485726;0,0239871199152197;10
"Sotsiaaldemokraatlik Erakond";507;"TOOMAS JÜRGENSTEIN";471;3;4869;0,0967344423906346;0,00959892394228418;10
"Sotsiaaldemokraatlik Erakond";514;"EVELIIS PADAR";452;10;4869;0,0928322037379339;0,00921170620363577;10
"Sotsiaaldemokraatlik Erakond";508;"KADRI LEETMAA";415;4;4869;0,0852331074142534;0,00845765060732045;10
"Sotsiaaldemokraatlik Erakond";510;"JOANNA HOFFMANN";308;6;4869;0,0632573423700965;0,00627700334230048;10
"Sotsiaaldemokraatlik Erakond";509;"LEMMIT KAPLINSKI";303;5;4869;0,0622304374614911;0,00617510393739301;10
"Sotsiaaldemokraatlik Erakond";511;"KARL PÜTSEPP";279;7;4869;0,0573012939001848;0,00568598679383712;10
"Sotsiaaldemokraatlik Erakond";512;"ANTS JOHANSON";114;8;4869;0,0234134319162046;0,00232330643189044;10
"Sotsiaaldemokraatlik Erakond";513;"MART HIOB";108;9;4869;0,022181146025878;0,00220102714600147;10
"Eesti Keskerakond";1016;"ESTER KARUSE";1677;2;5949;0,281896116994453;0,0377677183974056;11
"Eesti Keskerakond";1015;"ERKI SAVISAAR";1517;1;5949;0,255000840477391;0,0341643582640813;11
"Eesti Keskerakond";1017;"TARMO TAMM";1258;3;5949;0,211464111615398;0,0283314190482625;11
"Eesti Keskerakond";1018;"ANTI SAAREPUU";355;4;5949;0,0596738947722306;0,00799495529581335;11
"Eesti Keskerakond";1019;"ESTER TUIKSOO";286;5;5949;0,0480753067742478;0,00644100623831723;11
"Eesti Keskerakond";1024;"ÜLLE JUHT";216;10;5949;0,0363086232980333;0,00486453617998784;11
"Eesti Keskerakond";1022;"TAAVI TUVIKE";186;8;5949;0,0312657589510842;0,00418890615498953;11
"Eesti Keskerakond";1021;"JULIA BELOVA";166;7;5949;0,0279038493864515;0,00373848613832399;11
"Eesti Keskerakond";1020;"ANDRE LAINE";164;6;5949;0,0275676584299882;0,00369344413665743;11
"Eesti Keskerakond";1023;"JÜRI SAAR";124;9;5949;0,0208438393007228;0,00279260410332635;11
"Eesti Konservatiivne Rahvaerakond";640;"RAIN EPLER";3366;1;11759;0,286248830682881;0,0758056888048105;11
"Eesti Konservatiivne Rahvaerakond";641;"ANTS FROSCH";2619;2;11759;0,222723020665023;0,0589825011823525;11
"Eesti Konservatiivne Rahvaerakond";643;"HELEN REBANE";1343;4;11759;0,114210392040139;0,0302457041190911;11
"Eesti Konservatiivne Rahvaerakond";647;"MATI KUKLANE";1057;8;11759;0,089888595969045;0,0238046978807738;11
"Eesti Konservatiivne Rahvaerakond";644;"TIIT KALA";857;5;11759;0,0728803469682796;0,0193004977141184;11
"Eesti Konservatiivne Rahvaerakond";642;"MERRY AART";837;3;11759;0,0711795220682031;0,0188500776974529;11
"Eesti Konservatiivne Rahvaerakond";648;"UNO KASKPEIT";701;9;11759;0,0596139127476826;0,0157872215841272;11
"Eesti Konservatiivne Rahvaerakond";646;"KALMAR LUISK";462;7;11759;0,039289055191768;0,010404702384974;11
"Eesti Konservatiivne Rahvaerakond";649;"JÜRI KAVER";340;10;11759;0,0289140233013011;0,00765714028331419;11
"Eesti Konservatiivne Rahvaerakond";645;"LILIA MÜLLER";177;6;11759;0,0150523003656774;0,00398621714749003;11
"Eesti Reformierakond";890;"LIINA KERSNA";4073;1;10655;0,382261848897231;0,0917280363939373;11
"Eesti Reformierakond";892;"MAIDO RUUSMANN";1500;3;10655;0,1407789770061;0,0337815012499155;11
"Eesti Reformierakond";891;"EERIK-NIILES KROSS";1428;2;10655;0,134021586109808;0,0321599891899196;11
"Eesti Reformierakond";899;"MAIT KLAASSEN";968;10;10655;0,0908493664946035;0,0218003288066122;11
"Eesti Reformierakond";893;"ANDRUS SEEME";723;4;10655;0,0678554669169404;0,0162826836024593;11
"Eesti Reformierakond";896;"ANTI HAUGAS";569;7;10655;0,0534021586109808;0,0128144494741346;11
"Eesti Reformierakond";898;"MIKK TARROS";464;9;10655;0,0435476302205537;0,0104497443866405;11
"Eesti Reformierakond";894;"AIVAR ROSENBERG";404;5;10655;0,0379164711403097;0,00909848433664392;11
"Eesti Reformierakond";895;"LAURI DRUBINŠ";344;6;10655;0,0322853120600657;0,0077472242866473;11
"Eesti Reformierakond";897;"MARGUS LEPIK";182;8;10655;0,0170811825434069;0,00409882215165642;11
"Erakond Eesti 200";765;"IGOR TARO";3275;1;5105;0,64152791380999;0,0737562777289823;11
"Erakond Eesti 200";766;"KATRIN MARTINFELD";525;2;5105;0,102840352595495;0,0118235254374704;11
"Erakond Eesti 200";767;"KAUPO KUTSAR";381;3;5105;0,0746327130264447;0,00858050131747855;11
"Erakond Eesti 200";768;"KRISTA SILDOJA";180;4;5105;0,0352595494613124;0,00405378014998987;11
"Erakond Eesti 200";769;"REIN-ERIK JÕE";160;5;5105;0,0313418217433888;0,00360336013332433;11
"Erakond Eesti 200";773;"BLANCA PUNT";145;9;5105;0,0284035259549461;0,00326554512082517;11
"Erakond Eesti 200";774;"KADRI NAPRITSON-ACUNA";142;10;5105;0,0278158667972576;0,00319798211832534;11
"Erakond Eesti 200";770;"KADRI GIANNAKAINA LAUBE";139;6;5105;0,0272282076395691;0,00313041911582551;11
"Erakond Eesti 200";772;"AIVE ADLER";82;8;5105;0,0160626836434868;0,00184672206832872;11
"Erakond Eesti 200";771;"TOIVO SAKS";76;7;5105;0,0148873653281097;0,00171159606332905;11
"Erakond Eestimaa Rohelised";277;"MARGUS KONNULA";231;3;555;0,416216216216216;0,00520235119248699;11
"Erakond Eestimaa Rohelised";275;"KASPAR KURVE";144;1;555;0,259459459459459;0,00324302411999189;11
"Erakond Eestimaa Rohelised";276;"KAIA SOLNIK";97;2;555;0,174774774774775;0,00218453708082787;11
"Erakond Eestimaa Rohelised";281;"HANNA-MARIA RANDMA";45;7;555;0,0810810810810811;0,00101344503749747;11
"Erakond Eestimaa Rohelised";279;"KAIA KONSAP";21;5;555;0,0378378378378378;0,000472941017498818;11
"Erakond Eestimaa Rohelised";278;"URMAS HEINASTE";16;4;555;0,0288288288288288;0,000360336013332432;11
"Erakond Eestimaa Rohelised";280;"KULLAR LUBI";1;6;555;0,0018018018018018;2,2521000833277e-05;11
"Erakond Parempoolsed";207;"PÕIM KAMA";556;1;1015;0,547783251231527;0,012521676463302;11
"Erakond Parempoolsed";216;"MIKK UMBLEJA";92;10;1015;0,0906403940886699;0,00207193207666149;11
"Erakond Parempoolsed";208;"ESMAR NARUSKI";91;2;1015;0,0896551724137931;0,00204941107582821;11
"Erakond Parempoolsed";211;"MARGUS KARRO";78;5;1015;0,0768472906403941;0,00175663806499561;11
"Erakond Parempoolsed";210;"LIINA TSIMMER";55;4;1015;0,0541871921182266;0,00123865504583024;11
"Erakond Parempoolsed";214;"UKU KUDU";48;8;1015;0,0472906403940887;0,0010810080399973;11
"Erakond Parempoolsed";209;"VÄINO TÕEMETS";39;3;1015;0,038423645320197;0,000878319032497804;11
"Erakond Parempoolsed";213;"MART KEERUTAJA";25;7;1015;0,0246305418719212;0,000563025020831926;11
"Erakond Parempoolsed";212;"REIN MOOTSE";23;6;1015;0,0226600985221675;0,000517983019165372;11
"Erakond Parempoolsed";215;"SULEV KALDARU";8;9;1015;0,00788177339901478;0,000180168006666216;11
"ISAMAA Erakond";390;"PRIIT SIBUL";1420;1;3784;0,375264270613108;0,0319798211832534;11
"ISAMAA Erakond";395;"ULLA PREEDEN";379;6;3784;0,100158562367865;0,008535459315812;11
"ISAMAA Erakond";393;"TARMO PIIRMANN";371;4;3784;0,0980443974630021;0,00835529130914578;11
"ISAMAA Erakond";399;"AVO KIRSBAUM";305;10;3784;0,0806025369978858;0,00686890525414949;11
"ISAMAA Erakond";394;"MEELIS MÕTTUS";298;5;3784;0,0787526427061311;0,00671125824831656;11
"ISAMAA Erakond";396;"ARNE TILK";271;7;3784;0,0716173361522199;0,00610319122581808;11
"ISAMAA Erakond";391;"TUNNE-VÄLDO KELAM";235;2;3784;0,0621035940803383;0,0052924351958201;11
"ISAMAA Erakond";392;"MONIKA ROGENBAUM";217;3;3784;0,0573467230443975;0,00488705718082112;11
"ISAMAA Erakond";398;"ANTI NÕLVIK";160;9;3784;0,0422832980972516;0,00360336013332433;11
"ISAMAA Erakond";397;"KALLE VISTER";128;8;3784;0,0338266384778013;0,00288268810665946;11
"Sotsiaaldemokraatlik Erakond";516;"ANTI ALLAS";1970;2;5476;0,359751643535427;0,0443663716415557;11
"Sotsiaaldemokraatlik Erakond";515;"IVARI PADAR";1469;1;5476;0,268261504747991;0,033083350224084;11
"Sotsiaaldemokraatlik Erakond";518;"KARL KIRT";433;4;5476;0,0790723155588021;0,00975159336080896;11
"Sotsiaaldemokraatlik Erakond";521;"MARIS NEENO";383;7;5476;0,0699415631848064;0,0086255433191451;11
"Sotsiaaldemokraatlik Erakond";517;"SIRJE TOBRELUTS";337;3;5476;0,0615412710007305;0,00758957728081436;11
"Sotsiaaldemokraatlik Erakond";520;"RAUL KUDRE";253;6;5476;0,0462016070124178;0,00569781321081909;11
"Sotsiaaldemokraatlik Erakond";519;"KATRE KIKKAS";219;5;5476;0,0399926953981008;0,00493209918248767;11
"Sotsiaaldemokraatlik Erakond";524;"INARA LUIGAS";215;10;5476;0,0392622352081812;0,00484201517915456;11
"Sotsiaaldemokraatlik Erakond";522;"TOOMAS SARAPUU";129;8;5476;0,0235573411249087;0,00290520910749274;11
"Sotsiaaldemokraatlik Erakond";523;"JANA MOROZOV";68;9;5476;0,012417823228634;0,00153142805666284;11
"Üksikkandidaadid";1065;"ARGO MÕTTUS";105;1;105;1;0,00236470508749409;11
"Eesti Keskerakond";1025;"ANDREI KOROBEINIK";1973;1;5006;0,394127047542948;0,0449717359591539;12
"Eesti Keskerakond";1026;"MARKO ŠORIN";803;2;5006;0,160407510986816;0,018303245805981;12
"Eesti Keskerakond";1027;"ENN EESMAA";774;3;5006;0,154614462644826;0,0176422319474836;12
"Eesti Keskerakond";1030;"JÜRI KIRSS";307;6;5006;0,061326408310028;0,00699762946754194;12
"Eesti Keskerakond";1032;"ERLI AASAMETS";307;8;5006;0,061326408310028;0,00699762946754194;12
"Eesti Keskerakond";1031;"HARDI PIKKMETS";279;7;5006;0,0557331202556932;0,00635940919037199;12
"Eesti Keskerakond";1028;"KALEV KALJUSTE";234;4;5006;0,0467439073112265;0,00533369803063457;12
"Eesti Keskerakond";1029;"VARJE TIPP";179;5;5006;0,0357570914902117;0,00408005105762217;12
"Eesti Keskerakond";1033;"ANDE ARULA";150;9;5006;0,0299640431482221;0,00341903719912473;12
"Eesti Konservatiivne Rahvaerakond";650;"MART HELME";6130;1;11398;0,53781365151781;0,139724653537564;12
"Eesti Konservatiivne Rahvaerakond";652;"ALAR LANEMAN";1802;3;11398;0,158097911914371;0,0410740335521517;12
"Eesti Konservatiivne Rahvaerakond";651;"HELLE KULLERKUPP";1108;2;11398;0,0972100368485699;0,025255288110868;12
"Eesti Konservatiivne Rahvaerakond";653;"SVEN SILDNIK";1033;4;11398;0,0906299350763292;0,0235457695113056;12
"Eesti Konservatiivne Rahvaerakond";655;"AGNES PULK";366;6;11398;0,0321108966485348;0,00834245076586433;12
"Eesti Konservatiivne Rahvaerakond";657;"SIIMO LOPSIK";326;8;11398;0,0286015090366731;0,00743070751276441;12
"Eesti Konservatiivne Rahvaerakond";658;"KEN VAHER";280;9;11398;0,0245657132830321;0,00638220277169949;12
"Eesti Konservatiivne Rahvaerakond";654;"ARVI KAROTAM";218;5;11398;0,0191261624846464;0,0049690007293946;12
"Eesti Konservatiivne Rahvaerakond";656;"HELDUR PAULSON";135;7;11398;0,0118441831900333;0,00307713347921225;12
"Eesti Reformierakond";901;"ANNELY AKKERMANN";4381;2;12955;0,338170590505596;0,0998586797957695;12
"Eesti Reformierakond";900;"TOOMAS KIVIMÄGI";4099;1;12955;0,316402933230413;0,093430889861415;12
"Eesti Reformierakond";907;"LAURA KIVISELG";1107;8;12955;0,0854496333461984;0,0252324945295405;12
"Eesti Reformierakond";902;"JÜRI JAANSON";1069;3;12955;0,0825164029332304;0,0243663384390955;12
"Eesti Reformierakond";905;"MARIKA VALTER";664;6;12955;0,0512543419529139;0,0151349380014588;12
"Eesti Reformierakond";908;"JÜRI LEBEDEV";577;9;12955;0,0445387881126978;0,0131518964259664;12
"Eesti Reformierakond";904;"TOOMAS RÕHU";382;5;12955;0,0294866846777306;0,0087071480671043;12
"Eesti Reformierakond";903;"IRINA TALVISTE";355;4;12955;0,0274025472790428;0,00809172137126185;12
"Eesti Reformierakond";906;"RIIDO VILLUP";321;7;12955;0,0247780779621768;0,00731673960612691;12
"EESTIMAA ÜHENDATUD VASAKPARTEI";1058;"VJATŠESLAV MAKARONSKI";288;1;288;1;0,00656455142231947;12
"Erakond Eesti 200";775;"KADRI TALI";2092;1;5611;0,372839066120121;0,0476841721371262;12
"Erakond Eesti 200";776;"PEETER TALI";1159;2;5611;0,206558545713777;0,0264177607585704;12
"Erakond Eesti 200";778;"KÄTLIN JOALA";699;4;5611;0,12457672429157;0,0159327133479212;12
"Erakond Eesti 200";777;"SULEV ALAJÕE";560;3;5611;0,0998039565139904;0,012764405543399;12
"Erakond Eesti 200";783;"RENATA LUKK";291;9;5611;0,0518624131170914;0,00663293216630197;12
"Erakond Eesti 200";779;"ARLI KANTER";256;5;5611;0,045624665834967;0,00583515681983953;12
"Erakond Eesti 200";781;"URMO KESKÜLA";206;7;5611;0,036713598289075;0,00469547775346462;12
"Erakond Eesti 200";782;"ELMAR BERGMANN";191;8;5611;0,0340402780253074;0,00435357403355215;12
"Erakond Eesti 200";780;"REIO RANDMAA";157;6;5611;0,0279807520941009;0,00357859226841721;12
"Erakond Eestimaa Rohelised";282;"LIINA REIMANN";290;1;350;0,828571428571429;0,00661013858497447;12
"Erakond Eestimaa Rohelised";283;"SVEN ARULAID";60;2;350;0,171428571428571;0,00136761487964989;12
"Erakond Parempoolsed";217;"KAAREL KOSE";426;1;951;0,44794952681388;0,00971006564551422;12
"Erakond Parempoolsed";219;"ANDRES TÖLP";183;3;951;0,192429022082019;0,00417122538293217;12
"Erakond Parempoolsed";221;"PEETER HERMIK";81;5;951;0,0851735015772871;0,00184628008752735;12
"Erakond Parempoolsed";218;"MARELLE ERLENHEIM";74;2;951;0,0778128286014721;0,00168672501823487;12
"Erakond Parempoolsed";220;"KRISTIINA LAIUS";54;4;951;0,056782334384858;0,0012308533916849;12
"Erakond Parempoolsed";224;"GRETA PUKK";38;8;951;0,0399579390115668;0,000866156090444931;12
"Erakond Parempoolsed";222;"KATRIN EKŠTEIN";35;6;951;0,0368033648790747;0,000797775346462436;12
"Erakond Parempoolsed";223;"ALEKSANDER SAAK";31;7;951;0,0325972660357518;0,000706601021152443;12
"Erakond Parempoolsed";225;"PAAVO ULMANIS";29;9;951;0,0304942166140904;0,000661013858497447;12
"ISAMAA Erakond";400;"ANDRES METSOJA";1607;1;4375;0,367314285714286;0,0366292851932896;12
"ISAMAA Erakond";402;"LAURI LUUR";812;3;4375;0,1856;0,0185083880379285;12
"ISAMAA Erakond";408;"MATI SUTT";428;9;4375;0,0978285714285714;0,00975565280816922;12
"ISAMAA Erakond";401;"ELA TOMSON";297;2;4375;0,0678857142857143;0,00676969365426696;12
"ISAMAA Erakond";405;"URMAS AAVA";288;6;4375;0,0658285714285714;0,00656455142231947;12
"ISAMAA Erakond";407;"PRIIT ANNUS";284;8;4375;0,0649142857142857;0,00647337709700948;12
"ISAMAA Erakond";406;"JOHAN KÄRP";252;7;4375;0,0576;0,00574398249452954;12
"ISAMAA Erakond";404;"SIIM SUURSILD";216;5;4375;0,0493714285714286;0,00492341356673961;12
"ISAMAA Erakond";403;"ENE TÄHT";191;4;4375;0,0436571428571429;0,00435357403355215;12
"Sotsiaaldemokraatlik Erakond";525;"PEEP PETERSON";755;1;2938;0,256977535738598;0,0172091539022611;12
"Sotsiaaldemokraatlik Erakond";528;"MADIS VESKIMÄGI";665;4;2938;0,226344452008169;0,0151577315827863;12
"Sotsiaaldemokraatlik Erakond";526;"GERDA KULLI-KORDEMETS";445;2;2938;0,15146358066712;0,0101431436907367;12
"Sotsiaaldemokraatlik Erakond";533;"JANA RISTIMETS";348;9;2938;0,118447923757658;0,00793216630196937;12
"Sotsiaaldemokraatlik Erakond";532;"MARK SOOSAAR";259;8;2938;0,0881552076242342;0,00590353756382203;12
"Sotsiaaldemokraatlik Erakond";531;"REIN KONTUS";141;7;2938;0,0479918311776719;0,00321389496717724;12
"Sotsiaaldemokraatlik Erakond";527;"SILVER TAMBUR";138;3;2938;0,0469707283866576;0,00314551422319475;12
"Sotsiaaldemokraatlik Erakond";530;"EHA RISTIMETS";123;6;2938;0,0418652144315861;0,00280361050328228;12
"Sotsiaaldemokraatlik Erakond";529;"KRISTJAN KAUNISSAARE";64;5;2938;0,021783526208305;0,00145878920495988;12
