"party";"candidate_nr";"candidate_name";"candidate_votes";"candidate_position";"party_votes_const";"prop_candidate_votes_party";"prop_candidate_votes_constituency";"constituency"
"ISAMAA Erakond";368;"ENE MAATEN";169;7;4673;0,036165204365504;0,00430058274168512;8
"ISAMAA Erakond";370;"LEMBIT KRUUSE";140;9;4673;0,0299593408945003;0,00356261292210601;8
"ISAMAA Erakond";366;"IRMA VÄRE";96;5;4673;0,0205435480419431;0,00244293457515841;8
"ISAMAA Erakond";369;"HELI KOIT";49;8;4673;0,0104857693130751;0,0012469145227371;8
"Sotsiaaldemokraatlik Erakond";488;"HELMEN KÜTT";2098;2;5084;0,412667191188041;0,0533882993612744;8
"Sotsiaaldemokraatlik Erakond";487;"LAURI LÄÄNEMETS";1731;1;5084;0,340479937057435;0,0440491640583251;8
"Sotsiaaldemokraatlik Erakond";490;"KRIS SÜLD";608;4;5084;0,119590873328088;0,0154719189760033;8
"Sotsiaaldemokraatlik Erakond";493;"BIRGIT SITSKA";152;7;5084;0,029897718332022;0,00386797974400081;8
"Sotsiaaldemokraatlik Erakond";491;"TENE METSMA";150;5;5084;0,0295043273013375;0,00381708527368501;8
"Sotsiaaldemokraatlik Erakond";494;"KATI NÕLVAK";97;8;5084;0,0190794649881983;0,00246838181031631;8
"Sotsiaaldemokraatlik Erakond";492;"MART SALUMÄE";86;6;5084;0,0169158143194335;0,00218846222357941;8
"Sotsiaaldemokraatlik Erakond";489;"EIMAR VELDRE";82;3;5084;0,0161290322580645;0,00208667328294781;8
"Sotsiaaldemokraatlik Erakond";495;"TONIO TAMRA";80;9;5084;0,01573564122738;0,00203577881263201;8
"Üksikkandidaadid";1061;"ANDRES LAIAPEA";124;1;124;1;0,00315545715957961;8
"Eesti Keskerakond";996;"TAAVI AAS";1666;1;4298;0,387622149837134;0,0355292060310081;9
"Eesti Keskerakond";997;"IGOR GRÄZIN";977;2;4298;0,227315030246626;0,0208355547972959;9
"Eesti Keskerakond";998;"ANGELA SAKSING";412;3;4298;0,0958585388552815;0,00878633426457103;9
"Eesti Keskerakond";1000;"PEEP PÕDDER";368;5;4298;0,0856212191717078;0,0078479878868013;9
"Eesti Keskerakond";999;"PEETER LAASIK";300;4;4298;0,0697999069334574;0,00639781621206628;9
"Eesti Keskerakond";1004;"AIVAR ALEKSEJEV";298;9;4298;0,0693345742205677;0,00635516410398584;9
"Eesti Keskerakond";1002;"MARIANNE KIVIMURD-TARELKINA";115;7;4298;0,0267566309911587;0,00245249621462541;9
"Eesti Keskerakond";1003;"MAX KAUR";114;8;4298;0,0265239646347138;0,00243117016058519;9
"Eesti Keskerakond";1001;"KALEV PARIK";48;6;4298;0,0111679851093532;0,00102365059393061;9
"Eesti Konservatiivne Rahvaerakond";621;"KERT KINGO";3095;1;9244;0,334811769796625;0,0660041372544838;9
"Eesti Konservatiivne Rahvaerakond";622;"PEETER ERNITS";2933;2;9244;0,31728688879273;0,062549316499968;9
"Eesti Konservatiivne Rahvaerakond";623;"MARKO SAKSING";920;3;9244;0,099524015577672;0,0196199697170033;9
"Eesti Konservatiivne Rahvaerakond";624;"LAURI KONI";695;4;9244;0,0751839030722631;0,0148216075579536;9
"Eesti Konservatiivne Rahvaerakond";626;"ÜLLE ROSIN";399;6;9244;0,0431631328429251;0,00850909556204815;9
"Eesti Konservatiivne Rahvaerakond";628;"TÕNU KALJA";397;8;9244;0,0429467762873215;0,00846644345396771;9
"Eesti Konservatiivne Rahvaerakond";625;"AIVAR ÕUN";318;5;9244;0,0344006923409779;0,00678168518479026;9
"Eesti Konservatiivne Rahvaerakond";629;"ARLO SÄÄLIK";259;9;9244;0,0280181739506707;0,00552344799641722;9
"Eesti Konservatiivne Rahvaerakond";627;"ANDRES OSTRA";228;7;9244;0,0246646473388144;0,00486234032117037;9
"Eesti Reformierakond";871;"URMAS KRUUSE";6235;1;14229;0,438189612762668;0,132967946940778;9
"Eesti Reformierakond";872;"LUISA RÕIVAS";2939;2;14229;0,20655000351395;0,0626772728242093;9
"Eesti Reformierakond";874;"TOOMAS JÄRVEOJA";1688;4;14229;0,118630964930775;0,0359983792198929;9
"Eesti Reformierakond";873;"ERKKI KELDO";1445;3;14229;0,101553166069295;0,0308161480881193;9
"Eesti Reformierakond";875;"TRIIN NÕMMISTU";584;5;14229;0,0410429404736805;0,012454415559489;9
"Eesti Reformierakond";876;"VIKTOR SVJATÕŠEV";408;6;14229;0,028673835125448;0,00870103004841014;9
"Eesti Reformierakond";879;"KAISA EDENBERG";404;9;14229;0,0283927190948064;0,00861572583224926;9
"Eesti Reformierakond";877;"MERILI RANNISTE";281;7;14229;0,0197484011525757;0,00599262118530208;9
"Eesti Reformierakond";878;"AIVAR SAARELA";245;8;14229;0,0172183568768009;0,00522488323985413;9
"EESTIMAA ÜHENDATUD VASAKPARTEI";1055;"SERGEI JERJOMIN";719;1;719;1;0,0153334328549189;9
"Erakond Eesti 200";746;"IRJA LUTSAR";3523;1;6860;0,513556851311953;0,0751316883836984;9
"Erakond Eesti 200";747;"MÄRT MEESAK";762;2;6860;0,111078717201166;0,0162504531786484;9
"Erakond Eesti 200";752;"VIKTORIA LEPP";606;7;6860;0,0883381924198251;0,0129235887483739;9
"Erakond Eesti 200";754;"KUIDO NÕMM";565;9;6860;0,0823615160349854;0,0120492205327248;9
"Erakond Eesti 200";749;"JAAK LAINESTE";476;4;6860;0,0693877551020408;0,0101512017231452;9
"Erakond Eesti 200";750;"KERSTI KIVIRÜÜT";399;5;6860;0,0581632653061224;0,00850909556204815;9
"Erakond Eesti 200";748;"ELO LUTSEPP";308;3;6860;0,0448979591836735;0,00656842464438805;9
"Erakond Eesti 200";751;"AARE LILL";112;6;6860;0,0163265306122449;0,00238851805250474;9
"Erakond Eesti 200";753;"MARTIN VILEN";109;8;6860;0,0158892128279883;0,00232453989038408;9
"Erakond Eestimaa Rohelised";263;"AVE METS";233;2;490;0,475510204081633;0,00496897059137148;9
"Erakond Eestimaa Rohelised";262;"HANS LEONHARD KÕRGESAAR";91;1;490;0,185714285714286;0,00194067091766011;9
"Erakond Eestimaa Rohelised";267;"MATTIAS PILV";71;6;490;0,144897959183673;0,00151414983685569;9
"Erakond Eestimaa Rohelised";266;"ANTI EINPAUL";46;5;490;0,0938775510204082;0,000980998485850163;9
"Erakond Eestimaa Rohelised";265;"ALO KAASIK";31;4;490;0,063265306122449;0,000661107675246849;9
"Erakond Eestimaa Rohelised";264;"ARVO KUIV";18;3;490;0,036734693877551;0,000383868972723977;9
"Erakond Parempoolsed";188;"ALLAN MUUK";321;1;1207;0,265948632974316;0,00684566334691092;9
"Erakond Parempoolsed";189;"KAREL KUNINGAS";229;2;1207;0,189726594863297;0,00488366637521059;9
"Erakond Parempoolsed";190;"KAIRE VAHEJÕE";190;3;1207;0,157415078707539;0,00405195026764198;9
